 1 334
2 1944
3 8708
4 28273
5 67522
6 119109
7 167523
8 204715
9 229575
10 245483
11 255704
12 262422
13 266585
14 269592
15 271811
16 273033
17 273805
18 274419
19 275273
20 275643
21 275773
22 276328
23 276263
24 276236
25 276850
26 276665
27 276881
28 276858
29 276959
30 277152
31 276723
32 277282
33 277148
34 277172
35 277046
36 276921
37 277149
38 277123
39 277255
40 277446
41 277045
42 277081
43 277176
44 277091
45 277003
46 277187
47 277498
48 277499
49 277162
50 277090
51 277192
52 277192
53 277141
54 277106
55 277086
56 277197
57 277300
58 277038
59 277269
60 276757
61 276844
62 276970
63 277025
64 277285
65 277359
66 277246
67 277328
68 277063
69 276827
70 277126
71 276796
72 276747
73 276888
74 277135
75 277161
76 277201
77 277246
78 277269
79 277419
80 277432
81 277244
82 277397
83 277261
84 277136
85 276973
86 277223
87 277184
88 277197
89 276762
90 276917
