 1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1
18 1
19 0
20 1
21 0
22 1
23 1
24 1
25 1
26 0
27 1
28 1
29 1
30 1
31 4
32 4
33 3
34 4
35 4
36 6
37 6
38 9
39 10
40 15
41 17
42 23
43 24
44 27
45 27
46 38
47 43
48 59
49 88
50 136
51 194
52 269
53 312
54 412
55 618
56 881
57 1245
58 1738
59 2586
60 3814
61 5516
62 7762
63 10579
64 14328
65 19087
66 24782
67 31336
68 38501
69 46269
70 54215
71 62197
72 69999
73 76807
74 83426
75 89288
76 94655
77 99215
78 103223
79 106956
80 109832
81 112551
82 114881
83 116702
84 118680
85 119975
86 121355
87 122286
88 123264
89 124148
90 125014
