 1 1
2 1
3 1
4 1
5 1
6 1
7 2
8 2
9 2
10 2
11 2
12 1
13 2
14 2
15 2
16 2
17 2
18 2
19 1
20 4
21 4
22 6
23 21
24 40
25 63
26 159
27 262
28 428
29 754
30 3008
31 7062
32 13397
33 21558
34 32088
35 43939
36 55928
37 67377
38 77950
39 86947
40 93912
41 99967
42 104498
43 108675
44 111927
45 114824
46 117074
47 118868
48 120334
49 121486
50 122580
51 123673
52 124348
53 125109
54 125646
55 126234
56 126624
57 126975
58 127360
59 127608
60 127840
61 128152
62 128388
63 128628
64 128800
65 128864
66 129006
67 129084
68 129182
69 129253
70 129210
71 129305
72 129214
73 129429
74 129398
75 129475
76 129563
77 129410
78 129506
79 129739
80 129460
81 129713
82 129558
83 129702
84 129606
85 129722
86 129603
87 129570
88 129679
89 129577
90 129649
