 1 14013
2 79762
3 151961
4 199881
5 228009
6 243768
7 253978
8 259941
9 263771
10 266259
11 268381
12 269823
13 270886
14 271592
15 271943
16 272590
17 272840
18 272928
19 272803
20 273336
21 273593
22 273564
23 273656
24 273760
25 273656
26 273343
27 273567
28 273652
29 273962
30 274080
31 273871
32 273977
33 273891
34 274173
35 274034
36 274073
37 274385
38 274282
39 274296
40 274237
41 274221
42 274190
43 274249
44 274055
45 274196
46 274178
47 274116
48 274029
49 274006
50 273952
51 273800
52 273734
53 273726
54 273787
55 273760
56 274117
57 274164
58 274083
59 274057
60 274029
61 273949
62 273964
63 274190
64 274310
65 274064
66 273998
67 274111
68 274306
69 274264
70 273942
71 273621
72 273518
73 273453
74 273569
75 273511
76 273648
77 273928
78 273772
79 274055
80 273913
81 274001
82 273983
83 274233
84 274191
85 274384
86 274264
87 274325
88 274393
89 274400
90 274266
