0 102
1 218
2 332
3 434
4 545
5 685
6 839
7 1092
8 1411
9 1825
10 2302
11 2940
12 3746
13 4716
14 5899
15 7411
16 9227
17 11469
18 13912
19 16899
20 20432
21 24508
22 29017
23 33829
24 38892
25 44302
26 49938
27 55490
28 60785
29 65981
30 70967
31 75666
32 79851
33 83748
34 87142
35 90398
36 93296
37 95778
38 98152
39 100270
40 101923
41 103540
42 104687
43 106126
44 107255
45 108358
46 109310
47 110360
48 111107
49 111576
50 112017
51 112618
52 113115
53 113504
54 113919
55 114301
56 114439
57 114614
58 114910
59 115072
60 115231
61 115360
62 115682
63 116039
64 116007
65 115892
66 116016
67 116205
68 116368
69 116222
70 116460
71 116560
72 116669
73 116683
74 116587
75 116580
76 116805
77 116922
78 116994
79 117121
80 117066
81 117031
82 116866
83 116866
84 116970
85 116972
86 116975
87 116977
88 116980
89 117000

